unique_id_match,toponymName,fclName,commune,province,region,country,MATCH,types_Anne,types_Ettore
32711-1664152-nelis,,,,,,,nelis,per,per
32711-1664152-ans,,,,,,,ans,loc,loc
32937-1669601-lombroso,,,,,,,lombroso,per,per
33140-1677514-beveren,Beveren,Commune,Beveren,East Flanders Province,Flanders,Belgium,beveren,loc,loc
33152-1677621-gustave roth,,,,,,,gustave roth,per,per
33493-1688195-soumoy,,,,,,,soumoy,per,per
33493-1688195-nelis,,,,,,,nelis,per,per
33493-1688195-lebon,,,,,,,lebon,per,per
33570-1690370-augustin de ley,,,,,,,augustin de ley,per,per
33631-1691810-straus,,,,,,,straus,per,per
33631-1691810-liège,,,,,,,liège,loc,loc
34230-1709983-sohie,,,,,,,sohie,per,per
34236-1710313-geenkens,,,,,,,geenkens,per,per
34265-1710753-fadeux,,,,,,,fadeux,per,per
34449-1716459-haelen,,,,,,Netherlands,haelen,loc,loc
34470-1716713-marguerite martinon,,,,,,,marguerite martinon,per,per
34616-1721025-thibault,,,,,,,thibault,per,per
34674-1722785-van aerschoot,,,,,,,van aerschoot,per,per
34680-1722943-degueldre,,,,,,,degueldre,per,per
34710-1724205-moltke,,,,,,,moltke,per,per
34710-1724205-eulenburg,,,,,,,eulenburg,per,per
34969-1731889-plasky,,,,,,,plasky,per_loc,per_loc
35697-1759207-vansymaes,,,,,,,vansymaes,per,per
35759-1763068-leuven,Leuven,Commune,Leuven,Flemish Brabant Province,Flanders,Belgium,leuven,loc,loc
35759-1763068-louvain,,,,,,,louvain,loc,loc
35907-1766891-mery,,,,,,,mery,per,per
36021-1771546-valparaiso,,,,,,Chile,valparaiso,loc,loc
36051-1772604-maghnia,,,,,,Algeria,maghnia,per,loc
36058-1772659-nouvelle zemble,,,,,,Russia,nouvelle zemble,loc,loc
36387-1786151-maria debouche,,,,,,,maria debouche,per,per
36413-1786604-bolsée,,,,,,,bolsée,per,per
36423-1786627-de greef,,,,,,,de greef,per,per
36530-1788201-placlet,,,,,,,placlet,per,per
36544-1788355-dubois,,,,,,,dubois,per,per
36544-1788355-ixelles,,,,,,,ixelles,loc,loc
36638-1789504-hespel,,,,,,,hespel,per,per
36655-1789894-dehasse,,,,,,,dehasse,per,per
36725-1791499-dohet,,,,,,,dohet,per,per
36887-1795390-callier,,,,,,,callier,ambig,ambig
37014-1798143-la hestre,La Hestre,Section,Manage,Hainaut Province,Wallonia,Belgium,la hestre,loc,loc
37024-1798143-dejaiffe,,,,,,,dejaiffe,per,per
37045-1798172-gillion,,,,,,,gillion,per,per
37045-1798172-tardenois,,,,,,,tardenois,loc,loc
37056-1798172-gillion pierre,,,,,,,gillion pierre,per,per
37171-1801257-baisy-thy,Baisy-Thy,Section,Genappe,Walloon Brabant Province,Wallonia,Belgium,baisy-thy,loc,loc
37498-1808229-waver,Wavre,Commune,Wavre,Walloon Brabant Province,Wallonia,Belgium,waver,loc,loc
37498-1808229-brabant,,,,,,,brabant,loc,loc
37527-1808838-aubly sidonie,,,,,,,aubly sidonie,per,per
37555-1809261-hingene,Hingene,Section,Bornem,Antwerpen,Flanders,Belgium,hingene,loc,loc
37608-1810460-tempels,,,,,,,tempels,per,per
37868-1818555-gillion,,,,,,,gillion,per,per
37868-1818555-bronchain,,,,,,,bronchain,per,per
38058-1824292-gembloux,Gembloux,Commune,Gembloux,Namur Province,Wallonia,Belgium,gembloux,loc,loc
38076-1824643-thieu,Thieu,Section,Le Roeulx,Hainaut Province,Wallonia,Belgium,thieu,per_loc,per_loc
38133-1826079-auguste archangel,,,,,,,auguste archangel,per,per
38276-1828793-louis dierick,,,,,,,louis dierick,per,per
38276-1828793-nevele,,,,,,,nevele,loc,loc
38572-1833459-la hulpe,,Commune,,,,Belgique,la hulpe,loc,loc
38660-1835832-charles vander stappen,,,,,,,charles vander stappen,per,per
38866-1840818-alderson,,,,,,,alderson,per,per
38870-1840851-josquin,,,,,,,josquin,per,per
38894-1841258-alhenius,,,,,,,alhenius,per,per
38894-1841258-congo,,,,,,,congo,loc,loc
38896-1841258-eklund,,,,,,,eklund,per,per
38896-1841258-congo,,,,,,,congo,loc,loc
38904-1841363-edgar poe,,,,,,,edgar poe,per,per
38918-1841739-jansson,,,,,,,jansson,per,per
38918-1841739-congo,,,,,,,congo,loc,loc
39072-1846919-delbeke,,,,,,,delbeke,per,per
39211-1853290-schaerbeek,Schaerbeek,Section,Schaarbeek,Bruxelles-Capitale,Brussels Capital,Belgium,schaerbeek,loc,loc
39390-1860005-camille lemonnier,,,,,,,camille lemonnier,per,per
39542-1864609-kamp soltau,,,,,,Germany,kamp soltau,loc,loc
39563-1865626-brasserie chasse royale,,,,,,,brasserie chasse royale,loc,loc
39645-1867218-debrauwere,,,,,,,debrauwere,per,per
39664-1868084-delaby,,,,,,,delaby,per,per
39675-1868148-retsin,,,,,,,retsin,per,per
39729-1869024-malines,Mechelen,Commune,Mechelen,Antwerpen,Flanders,Belgium,malines,loc,loc
39837-1872385-italië,,,,,,Italy,italië,loc,loc
39856-1873191-dubray,,,,,,,dubray,per,per
39986-1877235-lessines,Lessines,Commune,Lessines,Hainaut Province,Wallonia,Belgium,lessines,loc,loc
40061-1879743-waermaerde,Waarmaarde,Section,Avelgem,West Flanders Province,Flanders,Belgium,waermaerde,loc,loc
40081-1880203-van loo prosper,,,,,,,van loo prosper,per,per
40139-1882237-storrer,,,,,,,storrer,per,per
40206-1885149-konstantinovka,,,,,,Ukraine,konstantinovka,per,loc
40223-1885787-santourinovka,,,,,,,santourinovka,per,per
40279-1888814-rhodes,,,,,,Greece,rhodes,loc,loc
40285-1888892-bex,,POI,,,,Belgium,bex,loc,per
40285-1888892-gilly,,,,,,,gilly,loc,loc
40342-1890296-delhaze,,,,,,,delhaze,per,per
40365-1891477-schwann,,,,,,,schwann,per,per
40378-1891680-beni meskine,,,,,,,beni meskine,per,per
40509-1897223-emile delhaze,,,,,,,emile delhaze,per,per
40588-1898613-charles joseph grave,,,,,,,charles joseph grave,per,per
41548-1924027-van diest,,,,,,,van diest,per,per
41600-1925765-louvain,Leuven,Commune,Leuven,Flemish Brabant Province,Flanders,Belgium,louvain,loc,loc
41625-1927125-congo,,,,,,Democratic Republic of the Congo,congo,loc,loc
41936-1934349-léon despret,,,,,,,léon despret,per,per
41936-1934349-wez,,,,,,,wez,loc,loc
42067-1937265-ardennes,,Sous-région,,,,Belgium,ardennes,loc,loc
