Column 1,viaf,wikidata,Column 2
Alois De Beule,Alois De Beule,Alois De Beule,2
Alois Van Heesch,,,1
Aloysius Bertrand,Aloysius Bertrand,Aloysius Bertrand,1
Alphonse Allais,Alphonse Allais,Alphonse Allais,3
Alphonse Asselbergs,Alphonse Asselbergs,Alphonse Asselbergs,1
Alphonse Barragan,,,1
Alphonse Bartiaux,,,1
Alphonse Beeckman,,,1
Alphonse Bonjean,,,1
Alphonse Bordet,,,1
Alphonse Bultinck,,,1
Alphonse Coenen,,,1
Alphonse Cronenberg,,,1
Alphonse Darville,Alphonse Darville,Alphonse Darville,1
Alphonse Deces,,,1
Alphonse De Chateaubriant,Alphonse De Chateaubriant,Alphonse De Chateaubriant,2
Alphonse De Cock,Alphonse De Cock,,1
Alphonse Degrave,,,1
Alphonse Dejasse,,,1
Alphonse De Ridder,Alphonse De Ridder,,1
Alphonse De Rocker,,,1
Alphonse De Woelmont,,Alphonse De Woelmont,1
Alphonse Druart,,,2
Alphonse Emsens,,,1
Alphonse Hasselmans,Alphonse Hasselmans,Alphonse Hasselmans,1
Alphonse Huisman,,,1
Alphonse Joseph Marie Donkers,,,2
Alphonse Lambeau,,,1
Alphonse Landa,,,1
Alphonse Lembrez,,,1
Alphonse Lemonnier,Alphonse Lemonnier,Alphonse Lemonnier,1
Alphonse Leonard,,Alphonse Leonard,1
Alphonse Lepage,,,1
Alphonse Liebert,Alphonse Liebert,Alphonse Liebert,1
Alphonse Lonnia,,,1
Alphonse Michaux,Alphonse Michaux,Alphonse Michaux,1
Alphonse Nicolas,,,3
Alphonse Nuzet,,,1
Alphonse Plumier,Alphonse Plumier,,1
Alphonse President,,,1
Alphonse Renders,,,1
Alphonse Robert,,Alphonse Robert,1
Alphonse Robie,,,1
Alphonse Royer,Alphonse Royer,Alphonse Royer,1
Alphonse Seys,,,2
Alphonse Spiegels,,,1
Alphonse Steurs,,,6
Alphonse Van Vyve,,,1
Alphonse Wauters,,Alphonse Wauters,6
Alphons Gustave,Alphons Gustave,,1
Alphons Langbeen,,,3
Alphons Seys,,,1
Alphons Spiegels,,,1
Alphonsus Langbeen,,,1
Alphonsus Petrus Langbeen,,,1
Alphons Walthausen,,,1
Alvar Aalto,Alvar Aalto,Alvar Aalto,1
Amalia Dedonder,,,1
Amalia De Donder,,,1
Amalia Rodrigues,Amalia Rodrigues,Amalia Rodrigues,6
Amalia Rodriguez,Amalia Rodriguez,Amalia Rodriguez,3
Amanda Laermans,,,3
Amanda Lambert,Amanda Lambert,,1
Amand Bauchau,,,1
Amand Bogaert,,,1
Amand Boutry,,,1
Amand Burie,,,1
Amand Cornille,,,1
Amand Delacroix,,,1
Amand Saint,,,8
Amand Saint D,,,1
Amand Vanhonsebrouck,,,1
Amar Circus,,,1
Ambroise Penneman,,,2
Amedee Lynen,,Amedee Lynen,1
Amedee Martini,,,1
Amedee Soil,,,1
Amedeo Martini,Amedeo Martini,,1
Amelia Delannoy,,,1
Amelia Maria Torfs,,,1
Amelie Buchet,,,1
Amelie Defacq,,,1
Amelie Delannoy,,,2
Amelie Hecq,,,2
Amigo Rue,,,1
Amin Maalouf,Amin Maalouf,Amin Maalouf,1
Amit Dyn,,,1
Amy Alleyne,,,1
Amy Howard,,,1
Amy Violet Alleyne,,,1
Amy Violet Howard,,,1
Anatole Abinet,,,1
Anatole Deibler,Anatole Deibler,Anatole Deibler,1
Anatole Demidoff,Anatole Demidoff,Anatole Demidoff,1
Anatole Demidov,,Anatole Demidov,1
Anatoli Demidoff,Anatoli Demidoff,Anatoli Demidoff,1
Anders Hippopotam,,,1
Anders Wolff Congo,,,1
Andre Antoine,,Andre Antoine,2
Andreas Sermon,,,2
Andre Bing,Andre Bing,,2
Andre Blumel,Andre Blumel,Andre Blumel,1
Andre Boelen,,,1
Andre Breuer,Andre Breuer,,2
Andre Brunot,Andre Brunot,Andre Brunot,1
Andre Burton,,,2
Andre Catulle,,,1
Andre Cluysenaar,,Andre Cluysenaar,1
Andre Daix,,Andre Daix,1
Andre Deflandre,,,3
Andre Delvaux,Andre Delvaux,Andre Delvaux,1
Andre Deruwe,,,4
Andre Favory,Andre Favory,Andre Favory,1
Andre Gertler,,Andre Gertler,2
Andre Glotz,,,1
Andre Goethals,Andre Goethals,,1
Andre Gregoire,,,1
Andre Hennebicq,Andre Hennebicq,Andre Hennebicq,1
Andre Huisman,,,1
Andrei Platonov,,Andrei Platonov,2
Andre Jolly,,Andre Jolly,1
Andre Joseph Lebon,,,5
Andrej Platonov,,Andrej Platonov,1
Andre Lagrand,,,2
Andre Langard,,,3
Andre Langrand,Andre Langrand,Andre Langrand,4
Andre Leblicq,,,2
Andre Lebon,Andre Lebon,Andre Lebon,4
Andre Lurcat,Andre Lurcat,Andre Lurcat,1
Andre Matissen,,,2
Andre Milhoux,,Andre Milhoux,1
Andre Monfroid,,,1
Andre Quartier,,,1
Andre Reclus,,,1
Andre Renoy,,,1
Andre Rosman,Andre Rosman,,1
Andre Salti,,,2
Andre Selvais,,,2
Andre Souris,Andre Souris,Andre Souris,1
Andres Segovia,,Andres Segovia,1
Andre Troisieme,,,1
Andre Van Campenhout,,,1
Andre Verte,,,1
Andre Villers,,,1
Andre Vuylsteke,,,1
Andrew Bertrand,,,1
Andries Castau,,,1
Andries Castiau,,,5
Andries Castiaux,,,5
Andries Georges,,,2
Andries Mineur,,,1
Andries Sermon,,,1
Andries Sint,,,1
Andry Georgette,,,1
Andry Robert,,,1
Angela Merkel,Angela Merkel,Angela Merkel,1
Angele Cabuil,,,1
Angele Derycke,,,1
Angele Leonard,,,1
Angelica Hauff,Angelica Hauff,Angelica Hauff,1
Angelica Mues,,,1
Angelina Mues,,,1
Angeline De Hodiamont,,,1
Angeline Mues,,,1
Angelique Mues,,,1
Angelique Vercammen,,,1
Angelle Saint,,,1
Angelo Galvan,,,1
Angelo Rossi,,Angelo Rossi,1
Ange Saint,,,3
Anicet Dubois,,,1
Anima Viande,,,1
Anita Querton,,,1
Anita Reyntiens,,,4
Anna Boch,Anna Boch,Anna Boch,2
Anna Catharina Haerts,,,1
Anna Cogen,Anna Cogen,Anna Cogen,1
Anna De Ruddere,,,1
Anna Dewez,,,1
Anna Dierckx,,,1
Anna Fortier,,,1
Anna Maria Catharina Mertens,,,3
Anna Marie Van Eenoo,,,1
Anna Meys,Anna Meys,,1
Anna Nellens,,,2
Anna Parijs,Anna Parijs,,1
Anna Paris,,,1
Anna Parys,Anna Parys,,5
Anna Rodway,,,2
Anna Sternberg,,,3
Anna Van Leuven,,,1
Anne Boos,Anne Boos,,1
Anne Bronte,Anne Bronte,Anne Bronte,1
Anne Catherine,,Anne Catherine,1
Anne Catherine Lints,,,1
Anne Catherine Mahu,,,1
Anne De Ruddere,,,1
Anne Ferrant,Anne Ferrant,,2
Anne Joseph,,,1
Anne Kops,,,2
Anne Parys,,,1
Anne Prison,,,3
Anne Rutzky,,,1
Anne Sainte,,,6
Anne Van Ingelghem,,,1
Annie Rutzky,Annie Rutzky,,1
Anselmo Lorenzo,Anselmo Lorenzo,Anselmo Lorenzo,1
Antal Dorati,,Antal Dorati,1
Anthoine Seraphin,,,1
Anthony Auberge,,,1
Anthony Cabaret,,,1
Anthony Mere,,,1
Anto Carte,Anto Carte,Anto Carte,2
Antoine Adolphe Swisser,,,1
Antoine Baron,,Antoine Baron,1
Antoine Berth,,,1
Antoine Bouman,Antoine Bouman,,1
Antoine Breart,,,1
Antoine Buffa,,,1
Antoine Chambord,Antoine Chambord,,1
Antoine Chocolat,,,1
Antoine Chome,,,1
Antoine Daens,,,1
Antoine De Breyne,,,1
Antoine Delvoye,,,1
Antoine Demiddelaer,,,1
Antoine Dochy,,,1
Antoine Dufrane,,,1
Antoine Emonts,,,1
Antoine Fisch,,,2
Antoine Gautier,,Antoine Gautier,1
Antoine Goetseels,,,1
Antoine Harpman,,,1
Antoine Janssens,,Antoine Janssens,5
Antoine Joseph Deleau,,,1
Antoine Joseph Gosselin,,,1
Antoine Jourez,,,1
Antoine Leclerc,,,1
Antoine Leemans,,,1
Antoine Lemoine,,Antoine Lemoine,1
Antoine Maroquin,,,3
Antoine Meunier,Antoine Meunier,,1
Antoine Moto,,,1
Antoine Peniche,,,1
Antoine Peterson,,,1
Antoine Pompe,Antoine Pompe,Antoine Pompe,1
Antoine Renson,,,2
Antoine Saint,,,2
Antoine Spreutels,,,1
Antoine Spring,Antoine Spring,Antoine Spring,1
Antoine Swisser,,,2
Antoine Thomas,,Antoine Thomas,1
Antoinette Buckincx,Antoinette Buckincx,,1
Antoinette Chevalier,Antoinette Chevalier,,1
Antoinette Hony,,,1
Antoine Van Cuyck,,,1
Antoine Van Geel,,,1
Antoine Van Hal,,,1
Antoine Van Lindt,Antoine Van Lindt,,1
Antoine Verhulst,Antoine Verhulst,,1
Antoine Wiertz,Antoine Wiertz,Antoine Wiertz,3
Antoine Ysae,,,1
Antoinie Spreutels,,,1
Anton Bouman,Anton Bouman,,1
Antonia Bert,,,1
Antoni Auberge,,,1
Antonia Vandendriessche,,,2
Antoni Cabaret,,,1
Antoni Mere,,,1
Antonio Bilbao,,,2
Antonio San,,,1
Antonius Archangel,,,1
Anton Van Duinkerken,,Anton Van Duinkerken,2
Antony Auberge,,,1
Antony Cabaret,,,1
Antony Mere,,,1
Apollinaris Spirou,,,1
Apollon Ompdrailles,,,1
Apollo Royal,Apollo Royal,,2
April Broeders,,,1
April Nieuws,,,1
April Rumst,,,1
April Staking,,,1
Arabella Delaere,,,1
Archie Black,Archie Black,,1
