QID,link,label,countCountries,countPersons
Q1096700,https://www.wikidata.org/wiki/Q1096700,Klaudiusz,7,17
Q1096743,https://www.wikidata.org/wiki/Q1096743,Emerik,5,5
Q1097066,https://www.wikidata.org/wiki/Q1097066,Xenia,17,32
Q1097621,https://www.wikidata.org/wiki/Q1097621,Angelina,27,67
Q1097868,https://www.wikidata.org/wiki/Q1097868,Iringó,1,1
Q1098116,https://www.wikidata.org/wiki/Q1098116,Ariadna,9,19
Q10981563,https://www.wikidata.org/wiki/Q10981563,Cato,5,16
Q1098214,https://www.wikidata.org/wiki/Q1098214,Claudiu,1,27
Q10983595,https://www.wikidata.org/wiki/Q10983595,Borna,1,5
Q1098457,https://www.wikidata.org/wiki/Q1098457,Itala,1,1
Q1098842,https://www.wikidata.org/wiki/Q1098842,Izaura,4,5
Q10988513,https://www.wikidata.org/wiki/Q10988513,Reyhan,3,4
Q10989273,https://www.wikidata.org/wiki/Q10989273,Johan,45,987
Q1098996,https://www.wikidata.org/wiki/Q1098996,Izsó,1,1
Q10990164,https://www.wikidata.org/wiki/Q10990164,Felicia,13,36
Q10993987,https://www.wikidata.org/wiki/Q10993987,Torstein,1,15
Q10994752,https://www.wikidata.org/wiki/Q10994752,Letitia,7,15
Q1099592,https://www.wikidata.org/wiki/Q1099592,Jamina,1,1
Q10996884,https://www.wikidata.org/wiki/Q10996884,Herta,11,42
Q10997598,https://www.wikidata.org/wiki/Q10997598,Ohad,2,8
Q10998835,https://www.wikidata.org/wiki/Q10998835,Zbigniew,10,408
Q11000929,https://www.wikidata.org/wiki/Q11000929,Daud,7,11
Q1102114,https://www.wikidata.org/wiki/Q1102114,Julius,51,1547
Q1102333,https://www.wikidata.org/wiki/Q1102333,Japheth,1,1
Q11027623,https://www.wikidata.org/wiki/Q11027623,Wilhelm,41,4504
Q1102915,https://www.wikidata.org/wiki/Q1102915,Judah,1,2
Q11034508,https://www.wikidata.org/wiki/Q11034508,Ubbe,1,1
Q1103531,https://www.wikidata.org/wiki/Q1103531,Calliope,1,2
Q1103851,https://www.wikidata.org/wiki/Q1103851,Cläre,3,11
Q11042062,https://www.wikidata.org/wiki/Q11042062,Andis,3,6
