,persons_names,isName
482,Madeleine Van Den Hoeck,Possible nom
483,Magdalena Vandenhoeck,Possible nom
484,Magdalena Van Den Hoeck,Possible nom
485,Louis Previnaire,Possible nom
486,Paul Chibert,Possible nom
487,Rene Bocken,Possible nom
488,David Citroen,Possible nom
489,Franz Orta,Possible nom
490,Maurice Collon,Possible nom
491,Roland Orta,Possible nom
492,Bertilla Apel,Possible nom
493,Bertille Apel,Possible nom
494,Bertilla Schwester,Possible nom
495,Bertille Sur,Possible nom
496,Huwelijk Geersens,Possible nom
497,Raymond Geersens,Possible nom
498,Huwelijk Devos,Possible nom
499,Fernand Maurer,Possible nom
500,Oscar Wilde,Possible nom
501,Eugene Geurts,Possible nom
502,Etienne Lenoir,Possible nom
503,Leopold Archiduc,Improbable
504,Henri Herremans,Possible nom
505,Edouard Manet,Possible nom
506,Thorn Koninklijke,Possible nom
507,Hein Kennes,Possible nom
508,Alain Gerbault,Possible nom
509,Joseph Papleux,Possible nom
510,Frederic De La Hault,Possible nom
511,Gordon Stretton,Possible nom
512,Edmond Hanssens,Possible nom
513,Francois Joseph Legrand,Possible nom
514,Francois Legrand,Possible nom
515,Francois Joseph,Possible nom
516,Lamy Joseph,Possible nom
517,Ernest Rousseau,Possible nom
518,Armand Debauche,Possible nom
519,Leys Alma,Possible nom
520,Leys Cercle,Possible nom
521,Leys Faust,Possible nom
522,Leys Tadema,Possible nom
523,Ernst Karcher,Possible nom
524,Julien Dulait,Possible nom
525,Floriant Montagne,Possible nom
526,Alfred Carlier,Possible nom
527,Edmond De Werbrouck,Possible nom
528,Lode Tallon,Possible nom
529,Valentin Henneman,Possible nom
530,Pierre Haine,Possible nom
531,Policarpe Plumat,Possible nom
532,Polycarpe Plumat,Possible nom
533,Bruno Walter,Possible nom
534,Augustinus Longerstaey,Possible nom
535,Felicien Depasse,Possible nom
536,Josephine Evrard,Possible nom
537,Jules Lambert,Possible nom
538,Jules Plumat,Possible nom
539,Albert Sonie,Possible nom
540,Albert Sortie,Improbable
541,Gretry Maison,Possible nom
542,Fernand Mysor,Possible nom
543,Dony Desire,Possible nom
544,Jean Van Impe,Possible nom
545,Clement Parent,Possible nom
546,Gustave Saintenoy,Possible nom
547,Henri Dome,Possible nom
548,Bell Acton,Possible nom
549,Ellis Bell,Possible nom
550,Ernest Vane,Possible nom
551,Isabelle Pensionnat,Improbable
552,Jeanne Eyre,Possible nom
553,Moke Dumas,Possible nom
554,Moke Nathan,Possible nom
555,Nick Old,Possible nom
556,Shirley Yorkshire,Possible nom
