visitID,Column,unique_id,query_normalised,query_tokens
2686839,66031,66031-2686839,garde civique hamme,3
2686839,66032,66032-2686839,garde civique koekelberg,3
2686839,66025,66025-2686839,garde civique de hal,4
2686839,66028,66028-2686839,garde civique de saint-gilles,4
2686839,66030,66030-2686839,garde civique hal,3
2686865,66033,66033-2686865,dienstplicht,1
2686915,66034,66034-2686915,dubart dubar,2
2686915,66035,66035-2686915,vanderwegen,1
2687075,66036,66036-2687075,liezele,1
2687157,66038,66038-2687157,edouard manet olympia,3
2687157,66037,66037-2687157,edouard manet,2
2687196,66040,66040-2687196,marthe pierre décédée à salzinnes,5
2687196,66039,66039-2687196,marthe pierre,2
2687336,66041,66041-2687336,ambtelijke vertalingen,2
2687336,66042,66042-2687336,het burgerlyk wetboek,3
2687336,66043,66043-2687336,hondt,1
2687336,66044,66044-2687336,hondthet burgerlyk wetboek,3
2687336,66045,66045-2687336,ledeganck,1
2687336,66046,66046-2687336,ledeganckhet burgerlyk wetboek,3
2687336,66047,66047-2687336,ledeganckwetboek,1
2687336,66048,66048-2687336,officiele vertalingen,2
2687336,66049,66049-2687336,slechte vertalingen,2
2687336,66051,66051-2687336,wettenvertalingen,1
2687336,66050,66050-2687336,wetten wetboek wetboekenvertalingen,3
2687422,66052,66052-2687422,paul lemay,2
2687431,66053,66053-2687431,buys alice,2
2687431,66054,66054-2687431,despiegelaere,1
2687431,66055,66055-2687431,jaak despiegelaere,2
2687431,66056,66056-2687431,van de velde,3
2687529,66058,66058-2687529,namur biplan,2
2687529,66057,66057-2687529,namur,1
2687551,66059,66059-2687551,hannon,1
2687551,66061,66061-2687551,jean-jacques altmeyer,2
2687551,66062,66062-2687551,joseph-désiré hannon,2
2687551,66063,66063-2687551,joseph-emile lequime,2
2687551,66065,66065-2687551,meisser,1
2687551,66060,66060-2687551,hendrickx,1
2687551,66064,66064-2687551,lequime,1
2687632,66066,66066-2687632,arsène pigeolet,2
2687632,66067,66067-2687632,david picard,2
2687632,66069,66069-2687632,michel mourlon,2
2687632,66068,66068-2687632,meisser,1
2687632,66070,66070-2687632,mourlon,1
2688593,66071,66071-2688593,auto-garage,1
2688629,66073,66073-2688629,cimetière de laeken,3
2688629,66074,66074-2688629,pigeolet,1
2688629,66072,66072-2688629,arsène pigeolet,2
2688632,66075,66075-2688632,abel torcy,2
2688632,66076,66076-2688632,maximilien blieck,2
2688712,66077,66077-2688712,dothée,1
2690512,66078,66078-2690512,olympia edouard manet,3
2691488,66079,66079-2691488,olympia edouard manet,3
2691489,66081,66081-2691489,cimetière,1
2691489,66080,66080-2691489,cimetiere de bruxelles,3
2691489,66084,66084-2691489,inhumation,1
2691489,66085,66085-2691489,visite du cimetière de laeken,5
2691489,66082,66082-2691489,cimetière de bruxelles,3
2691489,66083,66083-2691489,cimetière de laeken,3
2692506,66087,66087-2692506,van helmont,2
2692506,66086,66086-2692506,helmont,1
2692542,66088,66088-2692542,massala,1
2693225,66089,66089-2693225,demuyter,1
2693315,66090,66090-2693315,avion namur,2
2693328,66091,66091-2693328,leuven louvain leuvensche louvaniste,4
2693438,66092,66092-2693438,oscar proost,2
2693438,66093,66093-2693438,vimbos anvers,2
2693803,66094,66094-2693803,burgeon champetre morlanwelz,3
2693860,66096,66096-2693860,église de templeuve,3
2693860,66095,66095-2693860,templeuve,1
2693904,66097,66097-2693904,canton de l,3
2693904,66098,66098-2693904,chute,1
2693904,66103,66103-2693904,épuration eupen,2
2693904,66100,66100-2693904,prejbiano,1
2693904,66102,66102-2693904,épuration,1
2693904,66099,66099-2693904,eupen,1
2693904,66101,66101-2693904,prisonniers russes,2
