ID,name,toponymName,adminName4,adminName2,adminName1,lat,lng,type
2798949,ai ge ze,Éghezée,Éghezée,Namur Province,Wallonia,50.59076,4.91175,Commune
2796746,Aillemont,Haillemont,Ellezelles,Hainaut Province,Wallonia,50.71248,3.72722,Section/lieu-dit
2803328,Aineffe,Aineffe,Faimes,Liège Province,Wallonia,50.62464,5.25729,Section/lieu-dit
2803327,Ainieres,Arc-Ainières,Frasnes-lez-Anvaing,Hainaut Province,Wallonia,50.70151,3.55433,Section/lieu-dit
2803327,Ainières,Arc-Ainières,Frasnes-lez-Anvaing,Hainaut Province,Wallonia,50.70151,3.55433,Section/lieu-dit
2803325,Aische,Aische-en-Refail,Éghezée,Namur Province,Wallonia,50.60009,4.83775,Section/lieu-dit
2803325,Aische-en-Refail,Aische-en-Refail,Éghezée,Namur Province,Wallonia,50.60009,4.83775,Section/lieu-dit
2803323,Aiseau,Aiseau,Aiseau-Presles,Hainaut Province,Wallonia,50.41158,4.58671,Section/lieu-dit
2787711,Aiseau-Presles,Aiseau-Presles,Aiseau-Presles,Hainaut Province,Wallonia,50.40824,4.58216,Commune
2803320,Aisemont,Aisemont,Fosses-la-Ville,Namur Province,Wallonia,50.40491,4.65185,Section/lieu-dit
2798636,ai si ne,Esneux,Esneux,Liège Province,Wallonia,50.53596,5.56775,Commune
2803318,Aisne,Aisne,Durbuy,Luxembourg Province,Wallonia,50.3555,5.56592,Section/lieu-dit
2803316,Aisomont,Aisomont,Trois-Ponts,Liège Province,Wallonia,50.36167,5.90444,Section/lieu-dit
2803316,Aissomont,Aisomont,Trois-Ponts,Liège Province,Wallonia,50.36167,5.90444,Section/lieu-dit
2798578,ai te er bei ke,Etterbeek,Etterbeek,Bruxelles-Capitale,Brussels Capital,50.83272,4.38835,Commune
2802837,ai wa ye,Aywaille,Aywaille,Liège Province,Wallonia,50.47411,5.67684,Commune
2798554,ai wei lei,Evere,Evere,Bruxelles-Capitale,Brussels Capital,50.87441,4.39905,Commune
2802837,Aiweye,Aywaille,Aywaille,Liège Province,Wallonia,50.47411,5.67684,Commune
2802837,Aiwêye,Aywaille,Aywaille,Liège Province,Wallonia,50.47411,5.67684,Commune
2803315,Aix-sur-Cloix,Aix-sur-Cloix,Aubange,Luxembourg Province,Wallonia,49.57616,5.78122,Section/lieu-dit
2799848,Akker,De Akker,Zelzate,East Flanders Province,Flanders,51.19892,3.83418,Section/lieu-dit
